ra,dec
178.31411232166172,7.919772524897682
178.3174556634522,7.922030125350007
178.32031496593348,7.918044620000191
178.32065538196366,7.926596252871585
178.3211317137037,7.94227893793316
178.32174822010424,7.947901363497991
178.32180468665132,7.918636010184119
178.321864597278,7.927810250898395
178.32379793295092,7.931739790421162
178.3247406395689,7.928436802795159
178.32560105963745,7.940262657170007
178.32593323596137,7.941406747955178
178.3274346503556,7.944235823024532
178.32796809833826,7.929742827587257
178.32856444901722,7.915842335763741
178.32891679918015,7.927329833591919
178.32988927390892,7.948711291627728
178.32997960566297,7.931173884716064
178.33025102933408,7.93251817558377
178.33063492970973,7.92524438254407
178.3306567284856,7.931816355183744
178.33158776311964,7.935247204242289
178.33171834142345,7.940789735055522
178.33179095626062,7.9364908881023535
178.33181272646098,7.936897918768143
178.3333164103723,7.942042480704801
178.33395977111402,7.931937604572508
178.33471461525443,7.932787360062447
178.33590334070837,7.942375982696593
178.33666584432157,7.9262870423932785
178.33764110272165,7.926835896834974
178.33846767090435,7.941668977736751
178.33923111092423,7.936814104998095
178.34152358740312,7.9211673935913
178.3418591796594,7.940436923628658
178.3436061155112,7.928411216788947
178.34376964215988,7.921866166013336
178.34406410913917,7.941073284733296
178.3451870271521,7.947166165428195
